"variant","date","proportion"
"B.1.617.2",2022-03-14,1.32765315635072e-09
"B.1.617.2",2022-03-15,0.000356674963776928
"B.1.617.2",2022-03-16,0.000190498978525204
"B.1.617.2",2022-03-17,2.17010549978953e-07
"B.1.617.2",2022-03-18,0.000671191242261336
"B.1.617.2",2022-03-19,4.46767857862244e-05
"B.1.617.2",2022-03-20,2.09722714994581e-08
"B.1.617.2",2022-03-21,0.000446688757280477
"B.1.617.2",2022-03-22,0.000268686470222178
"B.1.617.2",2022-03-23,0.000479249981909134
"B.1.617.2",2022-03-24,0.000633372674185442
"B.1.617.2",2022-03-25,0.000549987120134314
"B.1.617.2",2022-03-26,0.000783865319609583
"B.1.617.2",2022-03-27,0.000552211643674371
"B.1.617.2",2022-03-28,0.000889459434359024
"B.1.617.2",2022-03-29,1.58657995096191e-09
"B.1.617.2",2022-03-30,0.000654635623795406
"B.1.617.2",2022-03-31,0.000507641968516109
"B.1.617.2",2022-04-01,0.000508845090859614
"B.1.617.2",2022-04-02,1.34528421421621e-06
"B.1.617.2",2022-04-03,2.80248513631206e-10
"B.1.617.2",2022-04-04,8.0365539057608e-05
"B.1.617.2",2022-04-05,1.81262356767403e-06
"B.1.617.2",2022-04-06,5.27286055385771e-11
"B.1.617.2",2022-04-07,0.000610399456011401
"B.1.617.2",2022-04-08,0.000264896215697276
"B.1.617.2",2022-04-09,0.000961838478434931
"B.1.617.2",2022-04-10,0.0351780541936005
"B.1.617.2",2022-04-11,0.000516608072831414
"B.1.617.2",2022-04-12,0.000416545339746714
"B.1.617.2",2022-04-13,2.1161157240035e-09
"B.1.617.2",2022-04-14,7.48513383311392e-05
"B.1.617.2",2022-04-15,0.000315861426339894
"B.1.617.2",2022-04-16,5.91703190292164e-09
"B.1.617.2",2022-04-17,0.000107013276753246
"B.1.617.2",2022-04-18,0.000997541954577302
"B.1.617.2",2022-04-19,0.000212344410447792
"B.1.617.2",2022-04-20,0.000235162293075854
"B.1.617.2",2022-04-21,2.72474599755126e-10
"B.1.617.2",2022-04-22,0.000360087369409601
"B.1.617.2",2022-04-23,0.000936929890525986
"B.1.617.2",2022-04-24,0.00106716458614574
"B.1.617.2",2022-04-25,0.000588216900831076
"B.1.617.2",2022-04-26,0.000494836949806633
"B.1.617.2",2022-04-27,0.00052544333891602
"B.1.617.2",2022-04-28,8.35938150228643e-05
"B.1.617.2",2022-04-29,0.00123275543468946
"B.1.617.2",2022-04-30,5.0955577603434e-09
"BA.1",2022-01-03,0.829497499249953
"BA.1",2022-01-04,0.909973198366164
"BA.1",2022-01-05,0.894943976805158
"BA.1",2022-01-06,0.87627160988218
"BA.1",2022-01-07,0.89677277413383
"BA.1",2022-01-08,0.900959404453994
"BA.1",2022-01-09,0.935076449066833
"BA.1",2022-01-10,0.929907489434374
"BA.1",2022-01-11,0.94769872841392
"BA.1",2022-01-12,0.939839365932017
"BA.1",2022-01-13,0.940548429774908
"BA.1",2022-01-14,0.955421608650393
"BA.1",2022-01-15,0.938595497886185
"BA.1",2022-01-16,0.916704447811507
"BA.1",2022-01-17,0.909337958949409
"BA.1",2022-01-18,0.950304555927545
"BA.1",2022-01-19,0.921627488095558
"BA.1",2022-01-20,0.921894334682107
"BA.1",2022-01-21,0.92358385527697
"BA.1",2022-01-22,0.925509248975484
"BA.1",2022-01-23,0.918608898823645
"BA.1",2022-01-24,0.916015451332146
"BA.1",2022-01-25,0.872975827828939
"BA.1",2022-01-26,0.869859934965167
"BA.1",2022-01-27,0.871891083553991
"BA.1",2022-01-28,0.856304267380058
"BA.1",2022-01-29,0.839873731961246
"BA.1",2022-01-30,0.818589308112276
"BA.1",2022-01-31,0.775036519142104
"BA.1",2022-02-01,0.819404468851743
"BA.1",2022-02-02,0.829703046276467
"BA.1",2022-02-03,0.801128515663443
"BA.1",2022-02-04,0.814867093939745
"BA.1",2022-02-05,0.830974737560026
"BA.1",2022-02-06,0.766217770762214
"BA.1",2022-02-07,0.753434595057497
"BA.1",2022-02-08,0.690195239472944
"BA.1",2022-02-09,0.747547553027176
"BA.1",2022-02-10,0.72923390091013
